judul,kategori,source,date
Balita 4 Tahun di India Jadi Korban Perkosaan,dunia,tempo.co,https://www.tempo.co/indeks/2021-09-01/dunia
"PM Singapura Menang Gugatan Rp 4 Miliar, Blogger Harus Bayar Ganti Rugi",dunia,tempo.co,https://www.tempo.co/indeks/2021-09-01/dunia
Kisah 5 Kembar Siam Paling Populer di Dunia,dunia,tempo.co,https://www.tempo.co/indeks/2021-09-01/dunia
"Bandara Kabul Tutup Tanpa Bantuan Teknis, Taliban Optimistis Ada Solusi",dunia,tempo.co,https://www.tempo.co/indeks/2021-09-01/dunia
Australia Pilih Berdamai Dengan COVID-19 Dibanding Menghilangkannya,dunia,tempo.co,https://www.tempo.co/indeks/2021-09-01/dunia
Orang Dekat Osama bin Laden Muncul di Afghanistan Usai Taliban Berkuasa,dunia,tempo.co,https://www.tempo.co/indeks/2021-09-01/dunia
Pakistan Khawatir Menjadi Target Taliban Selanjutnya Usai Afghanistan,dunia,tempo.co,https://www.tempo.co/indeks/2021-09-01/dunia
"Taliban Tutup Bandara Kabul, Warga Afghanistan Kabur via Jalur Darat",dunia,tempo.co,https://www.tempo.co/indeks/2021-09-01/dunia
Gajah di Sri Lanka Lahirkan Bayi Kembar,dunia,tempo.co,https://www.tempo.co/indeks/2021-09-01/dunia
"Setelah Delta, WHO Awasi Varian Baru Covid-19 Bernama Mu  ",dunia,tempo.co,https://www.tempo.co/indeks/2021-09-01/dunia
"Israel Tembak Mati Warga Palestina di Tepi Barat, Korban Baru Pulang Kerja",dunia,tempo.co,https://www.tempo.co/indeks/2021-09-01/dunia
"Proses Evakuasi di Afghanistan Rampung, Ini Hal-hal Menarik Dari Sana",dunia,tempo.co,https://www.tempo.co/indeks/2021-09-01/dunia
Sekitar 200 Warga AS Bertahan di Afganistan,dunia,tempo.co,https://www.tempo.co/indeks/2021-09-01/dunia
Inggris Bicara dengan Taliban Pertama Kalinya Soal Evakuasi dari Afghanistan,dunia,tempo.co,https://www.tempo.co/indeks/2021-09-01/dunia
Duta Besar Penny Williams Serahkan Surat Kepercayaan ke Jokowi,dunia,tempo.co,https://www.tempo.co/indeks/2021-09-01/dunia
Jepang Temukan Lagi Vaksin COVID-19 Moderna Terkontaminasi Zat Asing,dunia,tempo.co,https://www.tempo.co/indeks/2021-09-01/dunia
Joe Biden Ogah Disalahkan Atas Masalah Taliban dan Afghanistan,dunia,tempo.co,https://www.tempo.co/indeks/2021-09-01/dunia
Percakapan Presiden Afghanistan dengan Joe Biden Sebelum Digusur Taliban Bocor,dunia,tempo.co,https://www.tempo.co/indeks/2021-09-01/dunia
"Dubes India Bertemu Petinggi Taliban di Qatar, Apa yang Dibahas?",dunia,tempo.co,https://www.tempo.co/indeks/2021-09-01/dunia
Militan Islam Dijatuhi Hukuman Mati Akibat Bunuh Aktivis LGBT ,dunia,tempo.co,https://www.tempo.co/indeks/2021-09-01/dunia
