judul,kategori,source,date
"Bos Minyak Rusia Tewas Jatuh dari Jendela Rumah Sakit, Kritik Invasi ke Ukraina",dunia,tempo.co,https://www.tempo.co/indeks/2022-09-01/dunia
Kronologi Lengkap Kasus Korupsi Rosmah Mansor Mantan Ibu Negara Malaysia,dunia,tempo.co,https://www.tempo.co/indeks/2022-09-01/dunia
PBB: Militer Mali dan Tentara Bayaran Rusia Bunuh 50 Warga Sipil,dunia,tempo.co,https://www.tempo.co/indeks/2022-09-01/dunia
Amerika Akan Kembalikan Uang Hasil Suap Mantan Presiden Peru,dunia,tempo.co,https://www.tempo.co/indeks/2022-09-01/dunia
"Marcos Jr. Berkunjung ke Indonesia Pekan Ini, Lawatan Pertama Sejak Jadi Presiden",dunia,tempo.co,https://www.tempo.co/indeks/2022-09-01/dunia
"Kerusuhan Reda, Perdana Menteri Irak Dipuji Joe Biden",dunia,tempo.co,https://www.tempo.co/indeks/2022-09-01/dunia
IMF Sepakat Kucurkan Bantuan Rp 43 Triliun untuk Sri Lanka ,dunia,tempo.co,https://www.tempo.co/indeks/2022-09-01/dunia
Taiwan Tuding China Simulasikan Serangan ke Kapal Perang AS,dunia,tempo.co,https://www.tempo.co/indeks/2022-09-01/dunia
"Penumpang American Airlines Terdampar 20 Jam di Bandara, Kru Tidur di Hotel",dunia,tempo.co,https://www.tempo.co/indeks/2022-09-01/dunia
"AS Sebut Rusia Kekurangan Tentara untuk Perang Ukraina, Bakal Rekrut Narapidana",dunia,tempo.co,https://www.tempo.co/indeks/2022-09-01/dunia
"Tabrakan Kapal Tanker di Gibraltar, BBM Tumpah ke Laut",dunia,tempo.co,https://www.tempo.co/indeks/2022-09-01/dunia
Taiwan Tembak Jatuh Drone Sipil China,dunia,tempo.co,https://www.tempo.co/indeks/2022-09-01/dunia
Iran Minta Jaminan ke Amerika  Kalau Kesepakatan Nuklir Mau Diberlakukan Lagi,dunia,tempo.co,https://www.tempo.co/indeks/2022-09-01/dunia
"Rosmah Mansor, Istri Najib Razak, Divonis 10 Tahun Penjara dan Denda Rp3,2 Triliun",dunia,tempo.co,https://www.tempo.co/indeks/2022-09-01/dunia
China Kecam Badan PBB Atas Laporan Pelanggaran HAM di Xinjiang,dunia,tempo.co,https://www.tempo.co/indeks/2022-09-01/dunia
"Australia Kekurangan Pekerja, Antrean Visa Masuk Menumpuk",dunia,tempo.co,https://www.tempo.co/indeks/2022-09-01/dunia
 DPR Waswas Kasus TNI Mutilasi Warga Papua Bisa Ganggu KTT G20,dunia,tempo.co,https://www.tempo.co/indeks/2022-09-01/dunia
Taipan Taiwan Akan Latih Tiga Juta Pejuang Sipil Lawan China,dunia,tempo.co,https://www.tempo.co/indeks/2022-09-01/dunia
"Jerman Tingkatkan Kehadiran Militer di Indo-Pasifik, Khawatir Ambisi China",dunia,tempo.co,https://www.tempo.co/indeks/2022-09-01/dunia
"Rosmah Mansor, Istri Najib Razak,  Divonis Bersalah atas Tiga Tuduhan Suap",dunia,tempo.co,https://www.tempo.co/indeks/2022-09-01/dunia
"Ukraina Sedang Perang, Zelensky Sewakan Vila Mewahnya ke Pasangan Rusia",dunia,tempo.co,https://www.tempo.co/indeks/2022-09-01/dunia
Indonesia Terima Bantuan Robot Pengamanan KTT G20 Bali dari China,dunia,tempo.co,https://www.tempo.co/indeks/2022-09-01/dunia
Balita Tewas Tertimpa Hujan Es Sebesar Bola Golf di Spanyol,dunia,tempo.co,https://www.tempo.co/indeks/2022-09-01/dunia
Mary Peltola Wanita Asli Alaska Pertama di Kongres AS,dunia,tempo.co,https://www.tempo.co/indeks/2022-09-01/dunia
"Politisi PDIP Ini Tak Sarankan Jokowi Undang Putin dan Zelenksy ke G20, Kenapa? ",dunia,tempo.co,https://www.tempo.co/indeks/2022-09-01/dunia
Tim IAEA Akan Kunjungi PLTN Zaporizhzhia untuk Periksa Kerusakan,dunia,tempo.co,https://www.tempo.co/indeks/2022-09-01/dunia
"Kemerdekaan Malaysia, Ini Lika-liku Federasi Malaya Merdeka dari Inggris Raya",dunia,tempo.co,https://www.tempo.co/indeks/2022-09-01/dunia
"Antisipasi Serangan Cina,  Taiwan Latihan Militer ",dunia,tempo.co,https://www.tempo.co/indeks/2022-09-01/dunia
"Dibebaskan Israel, Tahanan Palestina Akhiri Mogok Makan Selama 6 Bulan",dunia,tempo.co,https://www.tempo.co/indeks/2022-09-01/dunia
"Via Surat, Pemimpin Iran Pernah Ajak Mikhail Gorbachev Masuk Islam",dunia,tempo.co,https://www.tempo.co/indeks/2022-09-01/dunia
Libya Temukan 15 Jasad di Dua Kuburan Massal Sirte,dunia,tempo.co,https://www.tempo.co/indeks/2022-09-01/dunia
Laporan PBB: Cina Melanggar HAM Muslim Uyghur di Xinjiang,dunia,tempo.co,https://www.tempo.co/indeks/2022-09-01/dunia
"Vonis Istri Najib Razak Diputuskan Hari Ini, Dijerat Tiga Tuduhan Suap ",dunia,tempo.co,https://www.tempo.co/indeks/2022-09-01/dunia
"Pesawat Jatuh Dekat Masjid di Uni Emirat Arab, Pilot Selamat Meski Luka-luka",dunia,tempo.co,https://www.tempo.co/indeks/2022-09-01/dunia
