judul,kategori,source,date
Otoritas Cina Hancurkan Ratusan Pemakaman Uighur,dunia,tempo.co,https://www.tempo.co/indeks/2020-01-03/dunia
Aktris Captain America The First Avenger Didakwa Membunuh Ibunya,dunia,tempo.co,https://www.tempo.co/indeks/2020-01-03/dunia
Kebakaran Kebun Binatang Jerman Gara-gara Lampion Tahun Baru,dunia,tempo.co,https://www.tempo.co/indeks/2020-01-03/dunia
Sebastian Kurz Bentuk Koalisi Larang Hijab di Sekolah Austria,dunia,tempo.co,https://www.tempo.co/indeks/2020-01-03/dunia
Korban Kebakaran Hutan Australia Tolak Salami Perdana Menteri,dunia,tempo.co,https://www.tempo.co/indeks/2020-01-03/dunia
Kuda Selamatkan Tuannya dari Kebakaran Hutan di Australia,dunia,tempo.co,https://www.tempo.co/indeks/2020-01-04/dunia
Ular King Kobra Keluar dari Balik Mesin Cuci,dunia,tempo.co,https://www.tempo.co/indeks/2020-01-04/dunia
"World War 3 Trending, Pemuda Amerika Serikat Cemas Wajib Militer",dunia,tempo.co,https://www.tempo.co/indeks/2020-01-04/dunia
Pengadilan Inggris Putuskan Veganisme Setara dengan Hak Beragama,dunia,tempo.co,https://www.tempo.co/indeks/2020-01-04/dunia
Apakah Serangan Amerika Serikat terhadap Qassem Soleimani Sah?,dunia,tempo.co,https://www.tempo.co/indeks/2020-01-04/dunia
Bolivia Jadwalkan Pemilu Mei 2020,dunia,tempo.co,https://www.tempo.co/indeks/2020-01-04/dunia
Apa Saja Opsi Iran untuk Membalas Pembunuhan Qassem Soleimani?,dunia,tempo.co,https://www.tempo.co/indeks/2020-01-04/dunia
"Qassem Soleimani Tewas, Staf Perusahaan Minyak AS Tinggalkan Irak",dunia,tempo.co,https://www.tempo.co/indeks/2020-01-04/dunia
Asap Berbentuk Wajah Iblis di Kebakaran Hutan di Australia,dunia,tempo.co,https://www.tempo.co/indeks/2020-01-04/dunia
"Mulai Januari 2020, Belanda Tak Mau Lagi Dipanggil Holland ",dunia,tempo.co,https://www.tempo.co/indeks/2020-01-04/dunia
Berikut Kelompok Milisi yang Siap Balas Kematian Qassem Soleimani,dunia,tempo.co,https://www.tempo.co/indeks/2020-01-04/dunia
Kementerian Luar Negeri Prihatin Iran - Amerika Bersitegang ,dunia,tempo.co,https://www.tempo.co/indeks/2020-01-04/dunia
Detik-detik Trump Perintahkan Serang Jenderal Qassem Soleimani,dunia,tempo.co,https://www.tempo.co/indeks/2020-01-04/dunia
"Iran Serukan Perang Jihad Lawan AS, Kata World War 3 Trending",dunia,tempo.co,https://www.tempo.co/indeks/2020-01-04/dunia
"Jenderal Qassem Soleimani Tewas, Trump Enggan Perang dengan Iran",dunia,tempo.co,https://www.tempo.co/indeks/2020-01-04/dunia
Viral Video Anak Pukuli Jasad Ayah yang Diduga Selingkuh,dunia,tempo.co,https://www.tempo.co/indeks/2020-01-04/dunia
Konsumen Beri Pelayan Restoran Uang Tip Lebih dari Rp 20 Juta,dunia,tempo.co,https://www.tempo.co/indeks/2020-01-04/dunia
Polisi Ditelepon untuk Atasi Cekcok Staf McDonald's dan Pembeli ,dunia,tempo.co,https://www.tempo.co/indeks/2020-01-04/dunia
Gambar Ilustrasi Jenderal Qassem Soleimani di Surga  ,dunia,tempo.co,https://www.tempo.co/indeks/2020-01-05/dunia
"Iran - Amerika Bersitegang, Kapal Selam Inggris Dilaporkan Siaga",dunia,tempo.co,https://www.tempo.co/indeks/2020-01-05/dunia
Kebakaran Hutan di Australia Buat Langit Selandia Baru Merah ,dunia,tempo.co,https://www.tempo.co/indeks/2020-01-05/dunia
Keluarga Australia Selamatkan 90 Ribu Hewan dari Kebakaran Hutan ,dunia,tempo.co,https://www.tempo.co/indeks/2020-01-05/dunia
Truk Pemadam Kebakaran di Cina Terhalang Mobil yang Parkir Liar,dunia,tempo.co,https://www.tempo.co/indeks/2020-01-05/dunia
Begini Kreatifitas Warga Thailand Saat Kantong Plastik Dilarang ,dunia,tempo.co,https://www.tempo.co/indeks/2020-01-05/dunia
"Penerbangan Telat, Penumpang Air India Ancam Dobrak Pintu Kokpit ",dunia,tempo.co,https://www.tempo.co/indeks/2020-01-05/dunia
"Hacker Iran Retas Situs Pemerintah AS, Ada Foto Trump Ditonjok ",dunia,tempo.co,https://www.tempo.co/indeks/2020-01-05/dunia
"Penginapan di Kamboja Runtuh, 36 Orang Tewas ",dunia,tempo.co,https://www.tempo.co/indeks/2020-01-05/dunia
"Bertemu Rouhani, Anak Jenderal Soleimani Tuntut Pembalasan",dunia,tempo.co,https://www.tempo.co/indeks/2020-01-05/dunia
Seberapa Kuat Militer Iran Menghadapi Amerika Serikat? ,dunia,tempo.co,https://www.tempo.co/indeks/2020-01-05/dunia
Ribuan Orang di Irak Berkabung atas Kematian Qassem Soleimani,dunia,tempo.co,https://www.tempo.co/indeks/2020-01-05/dunia
"Sakit Hati, Murid SD di Korea Selatan Membunuh Teman ",dunia,tempo.co,https://www.tempo.co/indeks/2020-01-05/dunia
