judul,kategori,date,source
"Rizky Febian Mengenang Ibundanya, Lina Zubaedah",Seleb,"04/01/2020, 21:57 WIB",kompas.com
"Mantan Istri Sule, Lina, Masih Menyusui Bayinya Sebelum Pingsan",Seleb,"04/01/2020, 21:31 WIB",kompas.com
Prambanan Jazz Akan Konsisten Kedepankan Budaya Indonesia,Musik,"04/01/2020, 21:20 WIB",kompas.com
"Ibu Rizky Febian, Lina, Tidak Pernah Mengeluh soal Sakit kepada Suami",Seleb,"04/01/2020, 20:04 WIB",kompas.com
Kenangan Terakhir Keempat Anak Sule bersama Lina,Seleb,"04/01/2020, 19:44 WIB",kompas.com
"Terbitkan Buku Kumpulan Puisi, Putri Marino Dihujani Kritik Netizen",Seleb,"04/01/2020, 19:23 WIB",kompas.com
"Suami Ceritakan Saat-saat Terakhir Ibunda Rizky Febian, Lina",Seleb,"04/01/2020, 18:27 WIB",kompas.com
Istri Sudah Terbiasa dengan Tingkah Laku Babe Cabiita,Seleb,"04/01/2020, 17:44 WIB",kompas.com
Rizky Febian: Mamah Lina Tiba-tiba Cerita Mimpi Diantar ke Surga,Seleb,"04/01/2020, 17:16 WIB",kompas.com
BTS Umumkan Jadwal Rilis Map of the Soul: 7,Musik,"07/01/2020, 23:02 WIB",kompas.com
Ibunda Medina Zein Berharap Anaknya Bisa Pulang karena Punya Bayi ,Seleb,"02/01/2020, 22:51 WIB",kompas.com
"Imam Darto: Scene-nya Dikit tapi sama Reza Rahadian, I Want It",Film,"08/01/2020, 21:56 WIB",kompas.com
Kesaksian Wanita yang Mandikan Jenazah Ibu Rizky Febian soal Lebam,Seleb,"08/01/2020, 21:46 WIB",kompas.com
Sule Sayangkan Teddy Lebih Banyak Jelaskan Kematian Lina ke Media,Seleb,"08/01/2020, 21:05 WIB",kompas.com
Irfan Hakim Beri Minuman Khusus untuk Hewan Peliharaannya Candy Laura,Seleb,"08/01/2020, 20:56 WIB",kompas.com
Nagita Slavina Ikut Pilih Nama Bayi Kembar Syahnaz Sadiqah dan Jeje Govinda,Seleb,"04/01/2020, 16:53 WIB",kompas.com
Sule: Lina Sempat Rayakan Malam Tahun Baru dengan Rizky Febian,Seleb,"04/01/2020, 16:28 WIB",kompas.com
"Mantan Istri Sule Meninggal, Babe Cabiita Sampaikan Duka Cita",Seleb,"04/01/2020, 15:56 WIB",kompas.com
"Syahnaz Sadiqah Melahirkan Bayi Kembar, Jeje Govinda Deg-degan",Seleb,"04/01/2020, 15:55 WIB",kompas.com
"Adik Setujui Jenazah Mantan Istri Sule Diotopsi, asal...",Seleb,"07/01/2020, 22:37 WIB",kompas.com
